
time 02h 13m 18s, episodes 85525, frames 29.7M, run epr 281.55, run loss 105.55
time 02h 14m 18s, episodes 86142, frames 29.9M, run epr 302.54, run loss 148.13

	30M frames: saved model

time 02h 15m 20s, episodes 86776, frames 30.1M, run epr 274.65, run loss 105.53
time 02h 16m 20s, episodes 87384, frames 30.4M, run epr 314.74, run loss 139.50
time 02h 17m 21s, episodes 87988, frames 30.6M, run epr 345.36, run loss 143.10
time 02h 18m 22s, episodes 88599, frames 30.8M, run epr 331.85, run loss 149.66
time 02h 19m 23s, episodes 89213, frames 31.0M, run epr 308.55, run loss 126.88
time 02h 20m 25s, episodes 89843, frames 31.3M, run epr 305.82, run loss 113.94
time 02h 21m 26s, episodes 90504, frames 31.5M, run epr 283.18, run loss 81.85
time 02h 22m 28s, episodes 91119, frames 31.7M, run epr 356.82, run loss 141.47
time 02h 23m 30s, episodes 91729, frames 32.0M, run epr 295.13, run loss 102.61

	32M frames: saved model

time 02h 24m 30s, episodes 92344, frames 32.2M, run epr 315.86, run loss 93.78
time 02h 25m 30s, episodes 92925, frames 32.4M, run epr 339.92, run loss 134.82
time 02h 26m 30s, episodes 93505, frames 32.6M, run epr 329.11, run loss 130.43
time 02h 27m 31s, episodes 94119, frames 32.9M, run epr 317.54, run loss 136.53
time 02h 28m 32s, episodes 94707, frames 33.1M, run epr 338.91, run loss 157.16
time 02h 29m 32s, episodes 95286, frames 33.3M, run epr 355.94, run loss 165.13
time 02h 30m 32s, episodes 95878, frames 33.5M, run epr 329.29, run loss 144.14
time 02h 31m 33s, episodes 96468, frames 33.8M, run epr 335.52, run loss 145.47
time 02h 32m 35s, episodes 97090, frames 34.0M, run epr 345.22, run loss 134.30

	34M frames: saved model

time 02h 33m 37s, episodes 97703, frames 34.2M, run epr 317.40, run loss 132.55
time 02h 34m 38s, episodes 98317, frames 34.5M, run epr 325.51, run loss 128.08
time 02h 35m 38s, episodes 98924, frames 34.7M, run epr 317.06, run loss 121.37
time 02h 36m 40s, episodes 99565, frames 34.9M, run epr 316.53, run loss 129.53
time 02h 37m 42s, episodes 100199, frames 35.1M, run epr 303.37, run loss 110.19
time 02h 38m 43s, episodes 100783, frames 35.4M, run epr 382.69, run loss 170.39
time 02h 39m 43s, episodes 101359, frames 35.6M, run epr 347.26, run loss 176.88
time 02h 40m 44s, episodes 101973, frames 35.8M, run epr 316.64, run loss 104.24

	36M frames: saved model

time 02h 41m 47s, episodes 102569, frames 36.0M, run epr 364.72, run loss 149.33
time 02h 42m 47s, episodes 103155, frames 36.3M, run epr 362.60, run loss 163.02
time 02h 43m 48s, episodes 103769, frames 36.5M, run epr 327.38, run loss 141.59
time 02h 44m 48s, episodes 104358, frames 36.7M, run epr 369.82, run loss 173.77
time 02h 45m 50s, episodes 104967, frames 37.0M, run epr 345.18, run loss 146.71
time 02h 46m 52s, episodes 105571, frames 37.2M, run epr 362.71, run loss 165.54
time 02h 47m 53s, episodes 106179, frames 37.4M, run epr 364.63, run loss 158.45
time 02h 48m 55s, episodes 106879, frames 37.6M, run epr 292.56, run loss 95.81
time 02h 49m 56s, episodes 107490, frames 37.9M, run epr 357.26, run loss 147.56

	38M frames: saved model

time 02h 50m 58s, episodes 108112, frames 38.1M, run epr 324.70, run loss 130.49
time 02h 52m 00s, episodes 108729, frames 38.3M, run epr 366.68, run loss 145.06
time 02h 53m 02s, episodes 109353, frames 38.6M, run epr 319.49, run loss 146.28
time 02h 54m 03s, episodes 109995, frames 38.8M, run epr 309.38, run loss 118.87
time 02h 55m 04s, episodes 110654, frames 39.0M, run epr 190.73, run loss 61.97
time 02h 56m 06s, episodes 111307, frames 39.2M, run epr 323.57, run loss 108.81
time 02h 57m 06s, episodes 111928, frames 39.5M, run epr 286.61, run loss 106.14
time 02h 58m 08s, episodes 112540, frames 39.7M, run epr 365.17, run loss 146.69
time 02h 59m 10s, episodes 113150, frames 39.9M, run epr 324.70, run loss 149.21

	40M frames: saved model

time 03h 00m 12s, episodes 113770, frames 40.2M, run epr 340.92, run loss 141.39
time 03h 01m 12s, episodes 114352, frames 40.4M, run epr 345.24, run loss 144.78
time 03h 02m 15s, episodes 114979, frames 40.6M, run epr 350.51, run loss 150.14
time 03h 03m 16s, episodes 115606, frames 40.8M, run epr 332.21, run loss 161.71
time 03h 04m 16s, episodes 116219, frames 41.1M, run epr 307.37, run loss 142.31
time 03h 05m 17s, episodes 116814, frames 41.3M, run epr 342.79, run loss 142.91
time 03h 06m 18s, episodes 117433, frames 41.5M, run epr 308.40, run loss 117.02
time 03h 07m 18s, episodes 118042, frames 41.7M, run epr 304.01, run loss 140.04
time 03h 08m 20s, episodes 118656, frames 42.0M, run epr 321.26, run loss 152.62

	42M frames: saved model

time 03h 09m 20s, episodes 119259, frames 42.2M, run epr 342.60, run loss 158.54
time 03h 10m 20s, episodes 119849, frames 42.4M, run epr 362.26, run loss 175.98
time 03h 11m 22s, episodes 120457, frames 42.7M, run epr 315.07, run loss 158.68
time 03h 12m 22s, episodes 121051, frames 42.9M, run epr 359.03, run loss 160.43
time 03h 13m 24s, episodes 121657, frames 43.1M, run epr 319.18, run loss 142.18
time 03h 14m 24s, episodes 122245, frames 43.3M, run epr 338.52, run loss 133.27
time 03h 15m 26s, episodes 122848, frames 43.6M, run epr 364.11, run loss 148.58
time 03h 16m 27s, episodes 123449, frames 43.8M, run epr 350.01, run loss 163.91
time 03h 17m 28s, episodes 124059, frames 44.0M, run epr 314.75, run loss 141.81
time 03h 18m 29s, episodes 124673, frames 44.2M, run epr 319.09, run loss 134.14
time 03h 19m 30s, episodes 125270, frames 44.5M, run epr 360.87, run loss 179.71
time 03h 20m 30s, episodes 125872, frames 44.7M, run epr 336.52, run loss 150.73
time 03h 21m 34s, episodes 126487, frames 44.9M, run epr 358.92, run loss 170.64
time 03h 22m 35s, episodes 127086, frames 45.2M, run epr 337.56, run loss 165.24
time 03h 23m 36s, episodes 127713, frames 45.4M, run epr 328.57, run loss 149.09
time 03h 24m 37s, episodes 128309, frames 45.6M, run epr 352.46, run loss 162.07
time 03h 25m 39s, episodes 128952, frames 45.8M, run epr 325.97, run loss 147.04
time 03h 26m 39s, episodes 129562, frames 46.1M, run epr 350.79, run loss 180.10
time 03h 27m 39s, episodes 130188, frames 46.3M, run epr 305.78, run loss 103.01
time 03h 28m 41s, episodes 130845, frames 46.5M, run epr 309.61, run loss 146.19
time 03h 29m 42s, episodes 131438, frames 46.8M, run epr 364.04, run loss 182.97
time 03h 30m 42s, episodes 132025, frames 47.0M, run epr 318.18, run loss 113.73
time 03h 31m 43s, episodes 132637, frames 47.2M, run epr 303.13, run loss 109.61
time 03h 32m 44s, episodes 133249, frames 47.4M, run epr 327.24, run loss 150.50
time 03h 33m 47s, episodes 133880, frames 47.7M, run epr 331.28, run loss 159.35
time 03h 34m 48s, episodes 134487, frames 47.9M, run epr 346.66, run loss 124.28

	48M frames: saved model

time 03h 35m 48s, episodes 135071, frames 48.1M, run epr 339.84, run loss 159.28
time 03h 36m 49s, episodes 135657, frames 48.3M, run epr 365.79, run loss 171.15
time 03h 37m 51s, episodes 136254, frames 48.6M, run epr 346.20, run loss 164.44
time 03h 38m 51s, episodes 136860, frames 48.8M, run epr 354.98, run loss 161.04
time 03h 39m 53s, episodes 137470, frames 49.0M, run epr 356.99, run loss 143.78
time 03h 40m 55s, episodes 138075, frames 49.3M, run epr 332.97, run loss 159.16
time 03h 41m 57s, episodes 138700, frames 49.5M, run epr 303.55, run loss 131.44
time 03h 42m 58s, episodes 139314, frames 49.7M, run epr 320.81, run loss 144.71
time 03h 43m 58s, episodes 139949, frames 49.9M, run epr 282.32, run loss 110.38

	50M frames: saved model

time 03h 44m 59s, episodes 140543, frames 50.2M, run epr 354.15, run loss 183.39
time 03h 45m 59s, episodes 141167, frames 50.4M, run epr 318.10, run loss 137.44
time 03h 47m 01s, episodes 141809, frames 50.6M, run epr 328.96, run loss 166.45
time 03h 48m 02s, episodes 142407, frames 50.9M, run epr 356.00, run loss 213.10
time 03h 49m 04s, episodes 143026, frames 51.1M, run epr 341.54, run loss 161.15
time 03h 50m 04s, episodes 143622, frames 51.3M, run epr 333.25, run loss 180.11
time 03h 51m 05s, episodes 144231, frames 51.5M, run epr 341.22, run loss 177.91
time 03h 52m 06s, episodes 144850, frames 51.8M, run epr 369.19, run loss 160.21
time 03h 53m 09s, episodes 145462, frames 52.0M, run epr 352.44, run loss 167.12

	52M frames: saved model

time 03h 54m 10s, episodes 146045, frames 52.2M, run epr 382.97, run loss 193.90
time 03h 55m 10s, episodes 146648, frames 52.4M, run epr 376.97, run loss 177.26
time 03h 56m 11s, episodes 147251, frames 52.7M, run epr 330.88, run loss 156.45
time 03h 57m 11s, episodes 147857, frames 52.9M, run epr 324.55, run loss 150.62
time 03h 58m 12s, episodes 148457, frames 53.1M, run epr 347.43, run loss 173.10
time 03h 59m 12s, episodes 149059, frames 53.3M, run epr 338.15, run loss 186.54
time 04h 00m 13s, episodes 149648, frames 53.6M, run epr 374.43, run loss 213.73
time 04h 01m 15s, episodes 150253, frames 53.8M, run epr 344.82, run loss 179.65

	54M frames: saved model


	54M frames: saved model

